word,pop,hip hop,not available,rock,metal,other,country,jazz,electronic,folk,r b,indie
learnt,6.422966060332772,3.0338767950692973,1.432282275098318,17.233250998051535,5.302215351290185,0.8884183996183124,0.6010385758885327,0.2848966266066231,1.862723597650498,0.19390861493448128,0.32469710671278357,0.8105254086173377
lease,2.6128530257118787,6.258423685029053,0.3950631559014553,5.349281049470715,2.116770439943869,0.42490531269743925,0.303632448537256,0.19845291539536192,0.2727413815473705,0.0,0.0,0.4589091010308952
leash,1.874613368948357,6.567988048420039,1.468619122114563,12.894424228252197,3.62210950726213,0.29309801535287533,0.7073528825085953,0.2670606140639303,1.1703323328275756,0.02059459906402012,0.2967174852086045,0.15015075938173772
least,41.63545450582834,37.88358642361061,24.154222481694678,155.1205886131301,21.85390824776719,4.1706988422340405,21.293118083962828,10.499752165080979,5.2711259620976545,1.5937021625020678,3.689116288806499,6.134254519966624
leather,11.084526883955363,26.68801859445341,6.095628928498455,47.56988024478045,13.379865082202175,1.1789227909356514,8.49312862798226,1.3577011496750413,1.5566121235312411,0.13316897804465885,1.187076627209204,1.156867383057733
leave,298.9796862819342,194.1664969656695,137.0440231734363,832.2806456697468,157.7901140924613,32.43608548485584,131.1464899062114,48.230691273499964,54.15309920058604,12.782568043108865,26.47593962365993,30.643348603348755
leaves,57.64011069938007,21.085464623069846,25.67125252196352,182.72311864772155,49.93765447550705,8.23686818969842,28.96119655459132,16.02339986058726,11.095708208085226,7.442435138552241,3.533921028543718,8.41996504123037
leavin,22.114575445144283,34.89151655710467,14.539574738601614,60.5586400166324,2.8791598515889025,2.217799046501499,30.901365330517436,4.449477723684258,2.1304808251446548,0.9433069939447781,3.4505900124477678,0.9614095934140819
leaving,86.72317958506706,41.1829631074221,39.8434202293503,267.1660180605889,51.40421457845125,8.857265487294082,48.34823626681909,12.724465621472541,13.06643957198559,4.649877626304648,9.871236795017763,12.520400322179684
lebron,0.08927696516655241,7.4610350035937625,0.43380273006599407,0.14273445261105916,0.0,0.0,0.0,0.053750337634890955,0.03180707313001091,0.0,0.0,0.0
lecture,1.168811493359017,3.759856468375079,0.8417533976350788,4.325677884706799,1.332121968243491,0.0,0.0,1.0228095833832869,0.0,0.05737523276428347,0.14876003679468777,0.0
