,2000s,2010s,1990s,1970s,1980s
anus,74,43,3,0,0
anxiety,271,122,6,0,0
anxious,265,152,20,1,11
anybody,3034,1429,116,19,30
anybodys,144,113,13,4,6
anyday,84,38,12,3,0
anyhow,371,132,15,19,4
anymore,7849,3510,257,72,78
anyone,4692,2115,157,45,71
anyones,108,60,3,0,6
anyplace,146,31,6,0,0
anything,11757,5755,479,130,87
anytime,1391,616,62,20,10
anyway,4130,1689,162,52,41
anyways,136,86,7,0,0
anywhere,2673,1427,93,24,35
ap,46,158,0,0,0
apart,8200,4192,321,51,87
apartment,454,198,19,2,4
apathy,322,89,10,0,1
ape,146,154,2,1,0
apes,101,62,1,0,1
apocalypse,245,109,1,0,0
apollo,119,31,3,4,0
apologies,336,196,3,0,6
apologize,501,376,23,6,0
apology,220,152,1,0,0
apos,462,0,0,0,0
apparent,97,41,1,0,1
apparently,123,58,3,1,0
appeal,411,184,19,6,2
appealing,127,55,5,1,1
appear,950,436,39,26,9
appearance,159,43,6,3,0
appeared,363,118,18,5,4
appearing,93,46,2,1,0
appears,523,169,26,5,9
appetite,347,170,12,1,3
applaud,82,39,2,0,0
applause,242,158,7,2,0
apple,1140,538,62,11,4
apples,206,49,11,1,0
applied,99,23,6,0,0
apply,298,92,8,1,2
appreciate,518,227,15,11,0
approach,405,184,18,2,4
approached,115,35,3,1,0
approaches,81,28,6,1,0
approaching,243,132,6,2,4
approval,94,33,1,0,1
approve,89,64,1,3,2
april,510,217,16,2,9
apron,97,46,8,1,2
aquarius,108,60,4,0,0
aqui,112,14,1,0,0
ar,144,80,7,0,0
arab,90,23,10,1,0
arc,136,68,0,0,0
arcade,94,35,4,0,1
arch,105,48,4,1,0
architect,90,51,2,0,0
area,470,121,12,2,0
arena,128,51,1,0,1
arf,129,9,0,3,0
argue,352,190,17,3,1
arguing,71,78,2,0,0
argument,192,64,4,0,0
arguments,102,39,1,0,1
arise,783,258,27,3,9
arizona,142,103,6,0,2
ark,135,56,2,0,0
arkansas,127,21,6,0,0
arm,1853,757,58,25,15
armageddon,341,73,7,0,10
armed,401,138,17,2,5
armies,241,93,17,1,1
armor,364,184,20,3,1
armour,121,45,3,1,2
arms,11377,4650,540,101,111
army,1291,475,34,12,33
aroma,101,46,2,1,0
arose,116,53,5,1,2
around,46097,21304,1973,513,445
arrange,126,77,7,0,0
arranged,125,47,5,1,2
arrest,272,150,15,3,0
arrested,247,92,21,0,6
arrival,182,83,8,3,8
arrive,625,355,43,4,6
arrived,655,227,31,3,6
arrives,253,81,5,2,1
arriving,119,29,5,1,1
arrogance,162,56,1,1,0
