,2000s,2010s,1990s,1970s,1980s
knife,2381,1038,95,10,29
knight,342,131,23,16,2
knights,252,49,7,6,7
knives,521,239,9,5,2
kno,392,155,2,0,0
knock,3794,1609,206,67,84
knocked,1088,424,39,8,12
knockin,1130,310,41,15,28
knocking,943,520,55,27,13
knocks,327,131,24,3,7
knot,406,169,17,2,7
knots,239,122,7,2,2
know,195168,103624,8277,1946,1822
knowin,907,175,53,4,3
knowing,3421,1454,119,58,38
knowledge,1231,290,44,7,9
known,6368,2757,279,54,62
knows,12294,5548,609,156,110
knuckle,192,56,5,0,3
knuckles,289,100,2,0,0
ko,105,53,13,0,0
kobe,58,142,0,0,0
kong,276,132,4,7,2
kono,35,80,0,0,0
koo,113,14,0,0,0
kool,117,69,4,0,2
koopa,163,16,0,0,0
krayzie,280,20,0,0,0
krazy,122,82,1,0,0
krishna,96,22,1,13,0
krs,245,26,0,0,0
kryptonite,65,87,1,2,0
ks,88,34,0,0,0
ku,87,42,2,4,0
kung,184,60,3,12,0
kurt,77,139,3,0,0
kurupt,117,11,3,0,0
kush,102,645,0,0,1
la,26113,14722,952,751,566
lab,232,130,3,0,0
label,606,347,13,1,6
labeled,119,32,3,2,0
labels,201,170,1,0,1
labor,260,88,7,5,8
labyrinth,128,37,3,0,2
lac,264,246,1,0,0
lace,641,240,27,7,3
laced,334,120,9,0,2
laces,114,65,2,4,1
lack,1079,416,36,21,12
lacking,154,63,4,0,0
lad,308,88,11,4,2
ladder,441,231,9,2,4
ladders,84,52,4,0,0
laden,137,39,2,3,0
ladies,3549,1512,137,25,28
lads,126,75,4,0,2
lady,6531,2668,343,127,84
ladys,221,56,8,0,0
laffy,215,5,0,0,0
lah,167,223,2,0,0
laid,2807,1082,132,26,26
lair,163,41,7,0,1
lake,1091,464,61,18,5
lakes,175,70,9,3,0
lala,153,163,1,0,0
lalala,128,59,12,0,0
lalalala,101,33,0,0,0
lama,98,28,1,0,0
lamb,830,438,63,13,4
lambo,65,177,0,0,0
lamborghini,94,135,0,0,0
lambs,150,62,4,1,1
lame,884,558,14,3,4
lament,137,25,4,4,0
lames,124,164,2,0,0
lamour,213,18,24,0,0
lamp,324,166,31,11,9
lamps,96,31,7,0,2
land,9634,3090,410,119,87
landed,386,183,17,4,2
landing,213,126,10,3,2
landlord,151,36,14,4,4
lands,893,250,25,5,6
landscape,278,54,7,1,1
landscapes,115,16,1,0,0
landslide,145,57,5,1,3
lane,1277,820,64,3,19
lanes,259,211,7,1,3
lang,379,86,2,0,1
language,795,418,29,2,5
lantern,96,43,6,1,0
lap,636,326,20,2,5
laps,68,44,2,0,0
large,750,252,25,4,8
larger,202,86,9,2,3
lark,104,59,2,4,0
larry,175,40,13,3,8
las,354,148,12,17,3
laser,185,97,0,0,2
lash,107,56,2,1,1
lashes,80,41,3,0,1
lass,77,37,4,0,9
lassie,113,20,2,0,0
last,27400,11841,1091,246,249
lasted,179,69,4,4,4
lasting,348,101,11,5,2
lasts,711,349,18,2,7
latch,81,35,4,0,0
late,11207,5227,463,135,162
lately,1768,1182,102,11,18
later,3206,1419,120,20,24
latest,527,224,26,6,10
latin,231,72,29,1,3
laugh,5556,2044,222,51,72
laughed,1077,410,42,10,8
laughin,594,203,24,4,2
laughing,2755,975,130,25,36
laughs,656,227,24,8,5
laughter,1745,607,70,27,27
launch,111,55,3,0,1
laundry,191,83,5,0,2
laura,137,67,6,0,0
lauren,54,125,1,0,0
lava,155,85,3,1,4
lavender,81,32,1,0,0
lavish,132,99,5,0,0
law,2623,893,114,13,58
lawd,92,29,3,0,0
lawn,517,179,5,2,0
laws,1005,290,37,9,4
lawyer,382,169,15,3,2
lawyers,197,73,20,1,2
lay,10164,4774,451,88,64
layed,87,38,6,0,0
layer,163,39,6,0,0
layers,163,86,2,0,1
layin,750,227,35,13,2
laying,1009,682,44,12,6
lays,383,156,11,7,7
layzie,210,26,0,0,0
lazy,1171,578,39,10,8
le,1361,399,95,12,1
lead,6416,2417,238,64,78
leader,778,421,22,4,7
leaders,492,172,12,3,13
leadin,91,21,5,0,0
leading,1048,439,37,14,17
leads,1412,556,51,9,14
leaf,632,306,18,10,5
league,271,236,7,1,21
leak,210,99,4,6,3
leakin,116,24,0,0,0
leaking,137,71,3,0,2
lean,1872,1248,61,35,9
leaned,130,69,6,6,0
leanin,172,78,4,0,0
leaning,345,187,13,2,3
leans,73,35,5,0,1
leap,431,279,14,5,5
leaping,78,35,2,2,1
learn,7237,2964,256,57,84
learned,3717,1562,152,33,49
learnin,249,55,6,1,3
learning,1169,607,47,15,11
learns,142,49,2,4,3
learnt,256,100,8,0,5
lease,140,79,0,0,0
leash,203,147,3,2,3
least,3144,1503,91,20,21
leather,1161,465,51,35,10
leave,29691,13800,1109,256,209
leaves,3974,1444,169,30,42
leavin,1925,644,72,18,23
leaving,5739,2876,168,67,51
lebron,25,102,0,0,0
lecture,78,42,4,0,0
led,1376,504,37,16,6
ledge,232,130,14,7,1
lee,914,324,64,10,12
leech,90,34,1,0,0
left,27920,13285,1017,195,217
leg,803,337,28,3,11
legacy,314,193,12,1,0
legal,273,143,5,1,2
legend,533,299,11,9,6
legendary,146,109,4,2,0
legends,208,95,2,0,0
legged,148,50,10,12,2
leggo,26,96,0,0,0
legion,121,35,12,0,0
legions,271,50,4,0,4
legit,296,125,25,0,0
legs,2244,1051,77,10,20
leisure,132,51,1,6,3
lemme,788,597,25,14,1
lemon,303,145,12,3,0
lemonade,173,130,2,1,2
lend,646,273,38,3,3
length,307,61,10,2,0
lennon,107,45,4,1,0
lens,159,99,2,1,2
lent,101,24,4,0,1
leo,116,57,4,1,0
les,836,151,52,6,7
less,4012,2072,144,35,39
lesser,145,76,2,1,0
lesson,1401,619,57,4,12
lessons,659,278,21,2,9
lest,147,52,13,1,1
lester,100,22,4,0,0
let,82195,47719,3704,903,705
lethal,293,129,8,1,1
lets,24499,15137,972,226,202
letter,2426,928,151,31,16
letters,1189,483,45,3,16
lettin,560,185,26,0,0
letting,1791,1189,55,6,7
levee,108,44,7,14,0
level,1048,873,27,1,3
levels,167,107,5,0,0
lever,64,46,1,0,1
lewis,124,34,7,2,1
lex,210,41,8,0,0
lexus,238,58,9,0,0
li,475,250,17,1,3
liable,67,42,3,2,0
liar,1536,773,38,16,25
liars,387,194,12,1,0
lib,117,30,2,0,1
liberate,114,39,11,6,1
liberation,197,38,1,1,0
liberty,599,217,28,10,9
library,113,43,1,2,0
libs,104,20,0,1,1
license,299,122,18,0,1
lick,1795,930,159,6,5
licked,209,67,13,0,0
lickin,344,89,6,0,0
licking,284,134,7,2,3
licks,249,95,12,1,2
lid,214,71,18,1,4
lids,102,40,1,0,0
lie,13403,6126,607,66,113
lied,1684,701,84,39,43
lies,12807,4833,442,95,135
life,76527,35186,3097,665,611
lifeless,466,140,17,11,2
lifeline,200,159,5,2,1
lifes,3401,1418,101,29,30
lifestyle,360,219,3,1,2
lifetime,1853,698,70,8,14
lifetimes,147,28,4,0,0
lift,2734,1781,85,15,13
lifted,636,440,26,4,2
liftin,98,54,1,2,0
lifting,311,264,10,4,11
lifts,252,128,23,1,3
light,28513,15411,1157,233,306
lighten,143,54,4,0,0
lightening,141,44,3,0,0
lighter,388,257,13,3,2
lighters,84,154,1,0,0
lighthouse,101,59,20,4,0
lighting,328,222,9,4,1
lightly,273,93,14,3,4
lightnin,189,27,5,1,1
lightning,1412,698,51,11,20
lights,8309,6115,329,96,126
like,190662,111283,7107,1342,1516
liked,969,468,44,11,6
likely,298,120,13,2,0
likes,1960,738,78,16,13
likin,80,32,3,0,0
liking,109,80,2,0,0
likkle,110,66,3,0,0
lil,3109,1884,76,1,3
lilies,58,64,0,1,1
lily,158,100,22,1,1
limb,361,134,13,4,7
limbo,305,66,9,1,1
limbs,509,149,7,5,5
lime,334,142,8,0,0
limelight,105,67,3,0,0
limit,1021,516,65,2,14
limited,133,84,3,4,0
limitless,50,79,0,2,1
limits,377,222,21,2,2
limo,133,68,5,1,0
limousine,309,72,7,2,7
limousines,67,44,5,0,1
limp,273,53,7,1,1
lincoln,189,73,14,0,1
linda,216,41,17,1,0
line,13427,6126,578,108,207
lined,281,133,10,0,7
linen,151,69,4,0,5
lines,3729,1893,128,15,30
ling,815,141,23,0,8
linger,567,252,36,12,5
lingering,97,49,1,1,2
lingers,310,131,21,5,3
lingo,106,59,20,0,1
lining,267,141,7,2,4
link,458,228,6,0,5
links,98,57,2,0,0
lion,769,402,58,29,6
lions,381,220,21,5,12
lip,911,365,24,1,7
lips,6418,3253,263,67,62
lipstick,484,349,23,4,7
liquid,533,114,9,7,5
liquor,1055,730,31,6,5
lisa,383,164,16,2,1
list,1350,642,42,9,25
listen,11858,4915,552,139,125
listened,702,253,36,9,7
listenin,493,171,39,1,4
listening,2194,1102,68,6,14
listens,276,75,21,1,3
lit,1237,944,56,8,7
literally,74,94,0,0,0
litter,129,46,6,0,3
little,47441,21171,2525,579,500
live,31389,14429,1212,311,263
lived,2726,1041,99,33,18
liver,200,95,2,1,0
lives,7336,2865,246,66,65
livin,5266,1893,215,31,48
living,14532,7441,593,132,181
liza,89,39,2,0,0
lizard,167,43,5,0,2
lloyd,124,20,1,0,5
lo,1028,676,40,3,15
load,1556,733,88,35,13
loaded,1178,577,61,6,6
loadin,78,35,1,0,0
loading,79,53,2,0,1
loads,148,67,1,1,3
loan,191,112,8,5,2
loathing,79,33,1,0,1
lobby,155,157,2,1,1
lobster,116,87,2,1,1
loc,141,30,10,0,0
local,725,243,31,2,9
location,123,68,6,2,3
lock,2806,1361,89,24,30
locked,3054,1140,88,30,24
locker,89,50,6,0,1
locket,97,41,5,0,1
lockin,87,74,2,0,0
locking,114,55,0,0,0
locks,341,133,13,3,1
loco,430,178,3,1,1
log,299,113,24,8,2
logic,348,100,10,7,3
logical,107,42,2,1,1
logo,75,61,2,0,0
lola,106,66,0,0,0
lolli,109,90,0,0,0
lollipop,164,83,7,0,0
london,1159,548,49,11,20
lone,453,182,19,0,1
loneliest,162,62,1,0,7
loneliness,1561,455,61,30,13
lonely,12646,5131,653,228,199
loner,106,40,8,1,2
lonesome,1762,533,112,28,38
long,42183,18456,1948,571,442
longed,218,70,13,3,0
longer,4578,1998,174,49,34
longest,362,181,21,3,0
longing,1253,497,43,5,8
longs,209,61,10,4,3
loo,261,34,51,1,1
look,42778,20623,1683,431,505
looked,5162,1693,255,79,49
lookin,7117,3072,305,59,76
looking,16066,9406,596,152,148
lookout,106,46,1,4,1
looks,5664,2175,225,62,64
looky,92,27,0,0,1
loop,418,128,11,0,5
loops,111,33,4,0,1
loose,3313,1483,161,71,55
loosen,210,111,6,6,4
loosing,261,125,3,1,0
loot,520,126,27,3,5
lord,14568,6819,1097,402,170
lords,504,219,22,5,2
lordy,293,74,19,5,6
los,483,213,8,6,3
lose,13184,6974,545,152,141
loser,842,281,38,13,7
losers,435,124,34,4,5
loses,151,64,3,2,2
losin,988,258,33,13,3
losing,4353,2338,134,45,16
loss,1314,529,30,4,5
losses,158,73,5,0,5
lost,23465,11999,802,166,246
lot,9745,5141,378,96,90
lotion,140,73,5,2,2
lots,1762,593,71,23,31
lotta,909,736,53,9,36
lottery,163,93,2,0,1
lotto,86,141,0,0,1
lotus,256,40,1,0,0
lou,379,98,37,4,1
loud,4246,3189,147,44,45
louder,914,838,42,4,13
loudest,79,48,0,0,0
loudly,126,31,8,2,0
louie,284,249,12,2,2
louis,499,480,7,3,7
louise,137,32,11,0,0
louisiana,350,87,16,6,15
lounge,241,61,9,1,1
lousy,162,31,10,0,4
love,198202,102512,10442,2896,2951
loved,7546,3948,319,73,152
loveless,143,41,4,1,1
lovely,2773,1039,147,23,19
lover,5128,2393,278,75,116
lovers,3812,1397,184,50,65
loves,8451,3382,401,97,92
lovesick,104,93,4,0,1
lovey,107,55,8,0,0
lovin,5491,2045,395,143,86
loving,7275,3386,410,120,104
low,8641,4886,411,91,67
lowdown,110,19,28,1,9
lower,625,301,15,2,7
lowered,99,33,8,2,1
lowest,148,60,2,0,0
lowly,145,85,10,3,2
lows,190,163,5,0,2
loyal,306,278,6,2,1
loyalty,269,155,9,1,0
lp,97,26,0,1,0
ls,101,62,0,0,0
lsd,82,33,2,0,2
ltd,119,4,0,0,0
lu,109,24,3,0,6
lucid,98,63,10,0,0
lucifer,341,83,8,3,1
lucille,114,53,3,1,1
luck,3289,1580,171,27,27
luckiest,91,63,6,4,0
lucky,3270,1480,129,43,36
lucy,412,172,29,6,0
luda,85,45,0,0,0
luggage,83,47,2,0,0
lui,107,8,7,0,0
luke,143,52,18,2,2
lula,74,44,2,0,1
lullabies,121,52,7,0,0
lullaby,738,431,39,13,2
lump,164,70,7,1,0
luna,62,56,0,0,6
lunacy,94,18,1,0,0
lunar,98,26,2,0,0
lunatic,246,73,6,0,8
lunch,567,238,17,0,4
lung,200,86,2,0,1
lungs,974,789,17,0,1
lure,135,40,6,2,1
lurking,187,71,4,1,4
lurks,111,35,4,1,2
lush,73,37,4,0,1
lust,1944,633,47,13,25
luther,175,86,9,0,0
luv,388,422,11,0,0
luxury,340,138,5,1,4
ly,241,59,2,0,0
lye,147,33,5,2,1
lyin,999,384,68,22,15
lying,4029,1908,149,40,49
lynch,203,41,4,0,0
lyric,185,64,7,0,1
lyrical,726,185,15,2,5
lyrically,186,62,6,0,3
lyrics,2705,695,56,8,28
maam,140,67,6,2,2
mac,777,412,16,0,1
mace,95,19,4,0,1
machete,119,32,1,0,0
machine,2668,895,90,31,23
machinery,120,41,1,0,1
machines,589,168,12,4,1
macho,93,14,4,0,13
mack,1100,197,46,1,5
mackin,126,37,4,0,1
macks,104,12,0,0,1
mad,6179,3119,208,34,66
madam,79,32,8,1,0
madame,62,56,7,0,1
made,27547,13813,1111,311,261
madison,74,58,21,1,0
madly,237,70,12,13,2
madman,186,39,9,4,3
madness,1700,587,62,11,14
madonna,209,91,9,5,8
mae,103,77,17,0,0
mafia,169,71,3,0,2
mag,138,59,3,0,0
magazine,759,258,27,10,7
magazines,426,176,9,4,4
maggie,127,51,14,0,8
maggot,108,14,1,0,0
maggots,244,49,1,1,2
magic,4193,2096,237,44,82
magical,445,206,8,3,1
magician,160,53,3,1,1
magnet,157,54,4,3,4
magnetic,120,198,9,1,1
magnificent,177,83,8,2,0
magnolia,102,36,9,1,1
magnum,115,67,1,0,1
mah,138,111,9,0,0
mai,85,48,15,0,1
maid,303,113,16,1,3
maiden,206,85,7,5,1
maidens,111,15,2,2,1
maids,87,49,5,3,1
mail,927,254,74,10,11
mailbox,105,28,2,0,1
main,1105,603,105,19,13
maine,116,70,4,2,2
mainstream,89,50,0,0,1
maintain,537,174,20,6,1
mais,179,62,17,8,2
majestic,124,25,5,2,1
majesty,384,154,18,5,3
major,761,417,40,3,19
majority,105,19,2,0,2
makaveli,137,16,29,0,0
make,84757,44230,3227,870,736
maker,685,345,27,4,1
makers,149,39,1,0,0
makes,14449,5678,553,140,147
makeup,284,202,6,2,1
makin,4140,1256,175,41,21
making,7929,4793,282,87,109
mal,100,56,4,3,1
malcolm,130,58,3,1,1
male,354,120,6,2,2
malibu,73,111,2,0,1
malice,161,52,3,0,2
malicious,104,20,1,0,0
mall,702,383,20,0,1
malls,115,17,3,0,0
mam,91,74,1,1,1
mama,7096,4084,430,119,125
mamas,881,395,54,11,9
mambo,88,83,0,0,1
mami,541,139,7,0,0
mamma,433,272,7,14,13
mammas,90,28,26,0,4
mammy,116,44,4,2,2
man,61898,24960,3152,834,729
manage,274,142,6,4,3
managed,123,62,4,2,1
manager,151,58,6,0,1
mane,233,326,2,0,1
maneuver,61,85,1,0,2
manger,252,102,25,3,1
mangled,100,36,2,0,1
manhattan,179,65,14,5,1
maniac,182,134,9,0,3
manic,175,71,0,0,0
manifest,225,59,14,0,4
manipulate,137,45,6,0,1
manipulation,96,24,1,0,0
mankind,1009,201,32,13,11
mankinds,106,13,3,0,1
mann,128,30,3,0,0
mannequin,108,38,0,0,1
manner,132,51,9,1,0
manners,165,132,5,2,2
mano,62,15,4,0,52
mans,2923,972,199,54,43
mansion,403,255,15,5,3
mansions,127,70,6,2,1
mantle,115,34,8,0,1
many,17315,6773,777,183,162
map,765,445,27,4,5
maps,138,88,4,6,2
mar,91,29,11,3,1
marathon,76,70,5,9,0
marble,239,109,9,3,0
march,1193,467,35,4,6
marched,120,39,4,0,0
marches,102,39,0,2,0
marching,889,453,25,4,15
marco,124,12,2,0,0
marcus,63,35,3,12,0
mardi,60,43,6,2,2
mare,113,39,19,4,1
margaret,58,68,0,0,0
maria,380,220,69,0,1
mariah,62,54,0,0,0
marie,319,95,33,2,20
marijuana,216,194,4,0,0
marilyn,122,102,2,2,0
mario,109,71,10,0,1
marionette,70,48,1,0,0
mark,1910,771,64,11,15
marked,301,86,9,1,2
market,503,185,11,8,5
marks,562,172,12,4,1
marley,192,211,11,0,1
marquis,89,7,21,0,0
marriage,238,115,13,1,1
married,1326,728,114,33,9
marrow,115,49,5,1,0
marry,879,480,33,7,5
mars,646,320,11,15,4
marshall,195,103,1,1,6
mart,92,34,2,0,1
martin,367,181,26,2,4
marty,80,40,0,3,0
martyr,244,122,6,0,2
martyrs,153,87,5,2,2
marvel,83,39,3,0,0
marvelous,191,137,9,2,2
marvin,144,98,10,3,1
mary,2336,883,115,22,13
marys,252,107,13,0,5
mas,228,75,3,0,0
mascara,81,39,5,0,0
mase,163,32,5,0,0
maserati,39,85,0,0,0
mash,513,164,44,3,2
mashed,103,36,4,0,0
mashin,88,27,11,0,0
mask,1067,514,50,9,8
masked,94,25,1,0,0
masks,147,72,4,0,3
mason,127,91,4,0,6
masquerade,365,140,36,4,5
mass,934,271,17,2,17
massacre,172,74,11,0,5
massage,87,36,3,1,0
masses,554,199,15,4,3
massive,264,124,10,0,6
mast,115,39,5,1,0
master,2603,733,117,16,11
mastered,117,51,4,0,0
mastermind,87,50,1,0,1
masterpiece,186,107,2,0,4
masters,520,143,17,8,8
mat,177,54,2,0,1
match,1266,675,53,3,7
matches,224,105,9,1,3
matching,132,90,2,1,1
mate,435,224,13,4,1
material,469,225,8,1,1
mates,168,65,2,1,2
math,361,173,9,1,1
mathematics,84,29,0,0,0
matrix,108,90,0,0,0
matter,11982,5902,425,105,148
mattered,229,110,13,2,1
matters,1476,753,52,6,19
mattress,269,171,4,5,1
mature,103,37,3,1,2
max,415,180,10,1,0
maximum,206,69,9,1,0
may,13695,5995,743,213,185
maybach,49,130,0,0,0
maybe,17677,8371,694,155,106
maybes,88,51,2,0,0
mayday,131,120,5,0,0
mayhem,124,48,1,1,4
mayn,128,8,0,0,0
mayne,545,166,10,0,0
mayor,147,74,7,0,1
maze,535,218,9,4,7
mc,1016,237,32,1,11
mcdonalds,141,47,0,0,0
mcs,1396,208,44,0,3
meadow,363,137,23,3,0
meadows,138,38,5,2,2
meal,604,258,18,5,7
meals,126,66,4,0,1
mean,14518,6952,541,148,143
meanest,111,54,7,2,5
meanin,108,32,4,0,0
meaning,2140,859,88,10,21
meaningless,257,76,8,1,0
meanings,102,38,2,2,0
means,4563,1927,155,29,40
meant,5811,2813,216,43,42
meantime,161,96,19,2,1
meanwhile,371,103,16,1,6
measure,616,251,31,4,2
measured,157,57,6,1,0
measures,117,34,8,0,1
meat,1223,288,60,6,15
mechanic,100,20,0,0,2
mechanical,144,70,1,0,1
medal,152,61,4,1,1
medals,94,16,4,0,2
media,466,145,11,0,1
medical,124,62,2,0,3
medication,158,91,1,0,0
medicine,623,400,70,0,3
meditate,120,42,4,0,0
meditation,127,38,6,1,1
medium,91,29,2,0,2
medusa,32,109,9,0,0
meek,244,145,8,3,6
meet,8133,3865,337,102,86
meetin,86,23,5,1,1
meeting,480,231,18,4,12
meetings,78,40,2,0,0
meets,722,292,31,6,19
mega,301,40,11,0,0
mein,132,77,1,0,0
mek,680,308,9,0,6
mel,121,20,3,3,0
melancholy,225,64,4,1,1
mellow,380,320,73,11,16
melodies,318,177,11,7,1
melody,1536,1052,71,26,23
melt,1210,515,39,10,11
meltdown,120,38,0,0,0
melted,229,88,8,3,1
melting,580,218,16,6,7
melts,263,123,8,0,1
member,310,108,17,0,0
members,224,81,1,1,0
memories,5224,2441,167,33,34
memorize,117,42,8,0,2
memory,4365,1988,188,22,79
memorys,155,39,5,1,0
memphis,572,188,56,2,5
memries,206,27,3,2,0
memry,193,20,10,0,0
men,7423,2622,360,110,98
menace,214,91,8,0,0
mend,939,400,44,13,2
mending,87,62,3,2,2
mens,170,51,4,5,3
ment,68,26,1,18,1
mental,1201,304,25,1,6
mentality,244,76,10,2,4
mentally,314,109,7,1,2
mention,976,431,41,10,9
mentioned,143,48,8,0,1
menu,104,92,8,1,1
meow,84,59,10,0,0
mercedes,260,250,10,2,1
merciless,154,40,2,0,4
mercury,225,111,12,0,1
mercy,2969,1301,161,36,44
mere,262,87,12,2,0
merely,240,85,2,3,0
merrily,75,47,4,1,0
merry,2140,848,121,7,4
mes,274,81,17,18,0
mesmerized,187,80,6,0,2
mess,3711,2130,80,46,52
message,2376,889,106,20,39
messages,296,130,7,1,0
messed,788,395,20,3,3
messenger,167,74,5,2,0
messiah,474,120,5,2,1
messin,472,151,34,9,7
messing,469,267,13,20,8
messy,159,71,3,0,0
met,6313,3221,323,50,81
metal,1569,512,53,4,8
metaphor,149,60,1,0,0
metaphors,94,45,0,0,0
meter,193,81,3,0,4
meth,99,49,0,0,0
method,246,54,11,1,1
methods,106,18,5,0,1
metro,86,76,3,0,0
mexican,292,83,9,4,0
mexico,699,250,31,1,3
mhm,122,52,0,0,0
mi,5002,1915,152,7,9
mia,198,147,7,0,10
miami,404,218,26,1,0
mic,2661,830,83,3,26
mice,214,63,6,1,1
michael,755,360,20,1,5
michelle,106,103,0,6,0
michigan,127,52,6,2,0
mick,70,35,8,1,0
mickey,379,77,7,3,0
microphone,975,314,43,3,9
microphones,102,8,5,0,0
mics,397,79,27,1,0
mid,370,135,8,3,2
midas,123,47,14,1,0
middle,3797,2354,159,18,31
midget,103,17,3,1,0
midnight,3036,1430,248,70,38
midst,339,136,6,0,2
midwest,141,34,1,0,1
might,17212,8318,599,164,211
mightve,93,109,2,0,1
mighty,2391,891,124,9,15
mike,979,365,115,0,14
mil,236,165,14,0,0
mild,317,103,9,4,4
mile,1591,621,57,14,25
miles,4580,1926,179,41,25
mili,4,223,0,0,0
military,283,93,6,1,2
milk,983,310,64,22,10
milkshake,36,84,0,0,0
milky,258,108,18,6,11
mill,523,337,20,1,2
millennium,250,32,8,0,1
miller,170,71,8,1,0
milli,124,134,1,0,0
millimeter,127,23,2,0,0
million,5197,2636,202,35,51
millionaire,436,168,18,2,4
millionaires,97,53,6,0,0
millions,875,413,25,5,6
mills,142,70,5,3,1
min,86,30,1,0,3
mind,42666,19108,1867,436,421
minded,335,111,4,1,2
mindless,242,66,7,2,5
minds,3624,1371,103,37,29
mine,21654,10373,860,218,266
mines,575,187,16,3,9
mingle,159,44,2,0,2
mini,278,106,3,0,0
minimum,172,76,2,0,0
minister,131,33,1,0,12
mink,219,93,10,1,2
minnesota,93,34,2,0,1
minnie,124,11,1,1,2
minor,297,129,11,2,1
mint,92,45,4,3,0
minus,193,107,7,0,0
minute,4424,2158,172,59,59
minutes,1550,713,64,11,11
mio,123,26,3,0,0
mir,98,28,0,0,0
miracle,1619,639,36,17,7
miracles,481,211,30,3,1
mirage,118,47,8,0,0
mire,73,40,2,0,7
mirror,3495,1927,119,76,50
mirrors,542,296,29,2,3
mis,100,44,2,1,0
miserable,314,87,17,1,0
misery,2630,819,95,17,38
misfit,102,35,4,0,4
misfortune,180,52,5,1,3
misguided,115,40,7,0,1
mislead,160,42,10,4,0
misleading,91,38,0,2,2
misled,164,39,4,2,2
misplaced,143,46,3,0,1
miss,10920,6060,434,70,82
missed,2064,915,84,18,33
misses,268,121,19,5,6
missile,110,65,2,0,0
missiles,157,43,8,1,3
missin,1087,351,41,3,9
missing,3801,2050,108,22,21
mission,1655,655,54,9,10
missions,83,34,1,0,0
mississippi,557,195,11,4,8
missouri,96,42,10,0,0
missus,103,40,21,0,0
missy,122,39,3,0,0
mist,801,256,36,7,16
mista,107,5,7,0,0
mistake,2631,1137,84,18,15
mistaken,442,176,13,3,1
mistakes,2143,1240,67,6,14
mistaking,93,37,4,0,0
mister,1407,605,97,25,6
mistletoe,398,232,32,0,0
mistreat,95,48,10,1,1
mistreated,134,77,18,1,19
mistress,290,149,35,1,2
mistrust,97,28,0,1,1
mists,122,23,1,0,0
misty,442,153,15,12,5
misunderstand,71,35,9,0,1
misunderstood,450,231,11,5,6
mix,1429,624,46,3,6
mixed,849,381,31,4,7
mixin,72,46,4,0,0
mixing,144,110,6,0,0
mixtape,169,115,1,0,0
mjg,160,11,3,0,0
mm,1065,537,60,16,29
mmh,37,68,3,5,2
mmm,1862,1171,123,34,24
mmmm,300,151,26,8,1
mmmmm,105,39,3,3,0
mo,2702,1204,121,0,17
moan,590,222,44,12,9
moanin,130,39,13,0,0
moaning,177,107,5,3,1
moans,143,52,12,1,2
mob,619,242,26,2,7
mobb,151,10,6,0,0
mobbin,122,95,4,0,0
mobile,280,60,15,2,0
mock,165,48,5,3,2
mockery,92,25,0,6,0
mocking,119,35,3,1,0
mode,326,168,5,1,0
model,617,510,11,1,1
models,217,264,2,1,0
modern,1043,255,41,6,20
modest,96,48,2,0,0
moe,296,75,4,2,0
moet,87,30,5,0,0
moi,575,118,62,0,4
moist,94,22,1,1,2
mojo,168,113,6,2,2
mold,428,185,9,4,3
molly,213,523,20,6,0
molten,109,22,2,0,1
mom,2238,890,73,6,7
moment,7441,4546,256,62,55
moments,1849,818,61,10,17
momentum,85,38,3,0,2
momma,2338,1454,96,13,9
mommas,376,151,11,0,1
mommy,796,293,18,6,0
mommys,144,37,2,0,0
moms,828,318,22,0,2
mon,594,145,79,0,7
mona,207,107,18,3,1
monday,1045,495,47,19,19
mondays,140,33,3,1,9
monde,129,18,15,0,0
money,20891,15255,763,210,179
moneys,516,195,14,7,7
monica,126,90,0,0,1
monk,116,31,5,0,0
monkey,1350,428,149,12,5
monkeys,270,91,12,2,1
mono,105,29,0,0,0
monopoly,65,44,3,0,1
monroe,123,172,4,3,0
monster,951,838,53,3,13
monsters,384,253,5,4,13
montana,140,297,4,6,3
monte,93,39,1,0,0
month,850,410,39,5,6
months,1102,464,57,4,6
monument,129,39,4,0,0
mony,47,102,0,0,0
moo,92,57,27,0,0
mood,1606,815,81,29,25
moods,171,40,0,3,0
moody,117,45,2,3,1
moon,9232,4153,481,111,179
moonbeams,75,45,14,2,0
moonlight,1951,940,105,13,17
moonlit,243,92,17,6,0
moons,379,166,12,5,7
moonshine,221,130,13,0,0
moor,102,19,0,1,0
moore,118,34,1,0,0
mop,116,76,5,1,0
moral,323,100,12,1,6
morality,159,31,2,0,0
morals,213,61,6,1,1
morbid,322,32,1,0,3
morgue,147,53,2,0,0
morn,458,180,31,4,2
mornin,1733,633,176,57,46
morning,12159,5918,775,221,187
mornings,392,176,25,12,7
morphine,73,54,1,0,0
mortal,729,145,29,6,3
mortality,122,35,5,0,0
mortals,188,46,4,1,2
mortgage,73,37,0,0,6
mos,89,19,13,1,0
moscow,62,84,3,1,11
moses,292,183,19,17,9
moss,188,58,1,3,7
mostly,429,114,18,3,2
motel,371,122,17,1,7
moth,162,73,10,2,0
motha,222,153,1,0,0
mothafucka,194,135,4,0,0
mothafuckas,175,46,0,0,0
mothafuckin,201,280,4,0,0
mother,7441,2957,387,98,98
motherf,128,79,6,0,0
motherfuck,138,104,2,0,0
motherfucka,156,90,0,0,0
motherfucker,2831,1525,127,0,1
motherfuckers,1682,573,59,1,1
motherfuckin,1708,566,92,0,1
motherfucking,867,690,12,1,0
mothers,1820,536,106,13,28
motion,1685,713,52,8,23
motionless,99,35,1,1,0
