Band,Song,Url
António Zambujo,Vicente Palma,artist/Vicente-Palma/2915451
António Zambujo,Héber Marques,artist/Héber-Marques/3106553
António Zambujo,Rui Pregal Da Cunha,artist/Rui-Pregal-Da-Cunha/3365084
António Zambujo,Cielito Lindo/Maria Bonita/Pica do 7,/lyric/35181528/Miguel+Ara%C3%BAjo/Cielito+Lindo-Maria+Bonita-Pica+do+7
António Zambujo,Miguel Araújo,artist/Miguel-Araújo/204045
António Zambujo,Foi Deus,/lyric/35181542/Miguel+Ara%C3%BAjo/Foi+Deus
António Zambujo,Miguel Araújo,artist/Miguel-Araújo/204045
António Zambujo,Fui Colher uma Romã,/lyric/35181535/Miguel+Ara%C3%BAjo/Fui+Colher+uma+Rom%C3%A3
António Zambujo,Miguel Araújo,artist/Miguel-Araújo/204045
Antonis Ladopoulos,East of the Sun,/lyric/14189667/Antonis+Ladopoulos/East+of+the+Sun
Antonis Ladopoulos,I Could Write a Book,/lyric/14189663/Antonis+Ladopoulos/I+Could+Write+a+Book
Antonis Ladopoulos,Without a Song,/lyric/14189669/Antonis+Ladopoulos/Without+a+Song
Antony,Perfect Day,/lyric/6033328/Lou+Reed/Perfect+Day
Antony,Lou Reed,artist/Lou-Reed/5247
Antony,The Lake,/lyric/8741881/Antony/The+Lake
Antony,Old Whore's Diet,/lyric/7356646/Rufus+Wainwright/Old+Whore%27s+Diet
Antony,Rufus Wainwright,artist/Rufus-Wainwright/181528
Antony,Hole in My Soul,/lyric/8724725/Antony/Hole+in+My+Soul
Antony,My Juvenile,/lyric/28776539/Bj%C3%B6rk/My+Juvenile
Antony,Björk,artist/Björk/27211
Antony,Toyboat,/lyric/10021422/Yoko+Ono/Toyboat
Antony,Yoko Ono,artist/Yoko-Ono/19685
Antony,Blind [Full Album Version],/lyric/16976376/Antony/Blind+%5BFull+Album+Version%5D
Antony,Hercules & Love Affair,artist/Hercules-&-Love-Affair/1776627
Antony,Easy,/lyric/25114037/Andy+Butler/Easy
Antony,Andy Butler,artist/Andy-Butler/61313
Antony,Hercules & Love Affair,artist/Hercules-&-Love-Affair/1776627
Antony,Raise Me Up,/lyric/25114035/Andy+Butler/Raise+Me+Up
Antony,Andy Butler,artist/Andy-Butler/61313
Antony,Andrew Butler,artist/Andrew-Butler/1660656
Antony,Hercules & Love Affair,artist/Hercules-&-Love-Affair/1776627
Antony and the Johnsons,Knockin' on Heaven's Door,/lyric/12361256/Antony+and+the+Johnsons/Knockin%27+on+Heaven%27s+Door
Antony and the Johnsons,Another World,/lyric/15379927/Antony+and+the+Johnsons/Another+World
Antony and the Johnsons,Flétta,/lyric/21128627/Antony+and+the+Johnsons/Fl%C3%A9tta
Antony Hegarty,Old Whore's Diet,/lyric/26907284/Rufus+Wainwright/Old+Whore%27s+Diet
Antony Hegarty,Rufus Wainwright,artist/Rufus-Wainwright/181528
Antony Hegarty,The Ballad of the Sad Young Men,/lyric/10620661/Marc+Almond/The+Ballad+of+the+Sad+Young+Men
Antony Hegarty,Marc Almond,artist/Marc-Almond/3528
Antony Hegarty,Blind,/lyric/21001144/Antony+Hegarty/Blind
Antony Hegarty,Hercules & Love Affair,artist/Hercules-&-Love-Affair/1776627
Antony Hegarty,Prisoner of Love,/lyric/23357687/Antony+Hegarty/Prisoner+of+Love
Antony Hegarty,Jessica 6,artist/Jessica-6/2288314
Antony Hegarty,Will I Ever Learn,/lyric/27546559/Herbert+Gr%C3%B6nemeyer/Will+I+Ever+Learn
Antony Hegarty,Herbert Grönemeyer,artist/Herbert-Grönemeyer/559411
Antony Santos,Me Enamore,/lyric/1761139/Antony+Santos/Me+Enamore
Antony Santos,Me Enamore [Merengue],/lyric/3510887/Antony+Santos/Me+Enamore+%5BMerengue%5D
Antony Santos,Algre Conga,/lyric/5065969/Antony+Santos/Algre+Conga
Antony Santos,Debate de 4,/lyric/28070783/Luis+Vargas/Debate+de+4
Antony Santos,Luis Vargas,artist/Luis-Vargas/43251
Antony Santos,Romeo Santos,artist/Romeo-Santos/2071490
Antti Sarpila,When You're Smiling,/lyric/17832458/Antti+Sarpila/When+You%27re+Smiling
Antti Sarpila,Antti Sarpila,artist/Antti-Sarpila/0
Antti Sarpila,Jesper Thilo,artist/Jesper-Thilo/0
Antti Sarpila,Jesper Thilo,artist/Jesper-Thilo/9793
Antti Sarpila,Roy Williams,artist/Roy-Williams/9961
Antti Sarpila,Charly Antolini,artist/Charly-Antolini/10059
Antti Sarpila,Henri Chaix,artist/Henri-Chaix/10301
Antti Sarpila,Oscar Klein,artist/Oscar-Klein/18701
Antti Sarpila,Vic Pitt,artist/Vic-Pitt/114750
Antti Sarpila,"Peter ""Banjo"" Meyer",artist/Peter-
Antti Sarpila,(What Can I Say) After I Say I'm Sorry?,/lyric/4001672/Ken+Peplowski/%28What+Can+I+Say%29+After+I+Say+I%27m+Sorry%3F
Antti Sarpila,Ken Peplowski,artist/Ken-Peplowski/7310
Antti Sarpila,Allan Vaché,artist/Allan-Vaché/11893
Antti Sarpila,1,artist/1/1853065
Antti Sarpila,Bye Bye Blues,/lyric/4001684/Ken+Peplowski/Bye+Bye+Blues
Antti Sarpila,Ken Peplowski,artist/Ken-Peplowski/7310
Antti Sarpila,Allan Vaché,artist/Allan-Vaché/11893
Antti Sarpila,1,artist/1/1853065
Antti Sarpila,A Shanty in Old Shanty Town,/lyric/4001679/Ken+Peplowski/A+Shanty+in+Old+Shanty+Town
Antti Sarpila,Ken Peplowski,artist/Ken-Peplowski/7310
Antti Sarpila,Allan Vaché,artist/Allan-Vaché/11893
Antti Sarpila,1,artist/1/1853065
Antti Sarpila,These Foolish Things,/lyric/4001674/Ken+Peplowski/These+Foolish+Things
Antti Sarpila,Ken Peplowski,artist/Ken-Peplowski/7310
Antti Sarpila,Allan Vaché,artist/Allan-Vaché/11893
Antti Sarpila,1,artist/1/1853065
Antti Sarpila,Who's Sorry Now?,/lyric/4001681/Ken+Peplowski/Who%27s+Sorry+Now%3F
Antti Sarpila,Ken Peplowski,artist/Ken-Peplowski/7310
Antti Sarpila,Allan Vaché,artist/Allan-Vaché/11893
Antti Sarpila,1,artist/1/1853065
Antti Sarpila,As Long as I Live,/lyric/2375127/Allan+Vach%C3%A9/As+Long+as+I+Live
Antti Sarpila,Allan Vaché,artist/Allan-Vaché/11893
Antti Sarpila,Careless Love,/lyric/2375129/Allan+Vach%C3%A9/Careless+Love
Antti Sarpila,Allan Vaché,artist/Allan-Vaché/11893
Antti Sarpila,Goodnight My Love,/lyric/2375139/Allan+Vach%C3%A9/Goodnight+My+Love
Antti Sarpila,Allan Vaché,artist/Allan-Vaché/11893
Antti Tuisku,Juuret,/lyric/19607325/Antti+Tuisku/Juuret
Antti Tuisku,Viilto,/lyric/19607321/Antti+Tuisku/Viilto
Antti Tuisku,Atlantti,/lyric/23105608/Antti+Tuisku/Atlantti
Antwon Lamar Robinson,Thug Blues,/lyric/4293948/2Pac/Thug+Blues
Antwon Lamar Robinson,2Pac,artist/2Pac/50051
Antwon Lamar Robinson,Tina Thomas Bayyan,artist/Tina-Thomas-Bayyan/1851278
Antwon Lamar Robinson,The IMPACT Repertory Theatre,artist/The-IMPACT-Repertory-Theatre/2035252
Anubian Lights,Lady Berlin,/lyric/28746363/Anubian+Lights/Lady+Berlin
Anubis Gate,Kingdom Come,/lyric/8403202/Anubis+Gate/Kingdom+Come
Anuel AA,Ahora Dice,/lyric/34822834/Arc%C3%A1ngel/Ahora+Dice
Anuel AA,Arcángel,artist/Arcángel/904663
Anuel AA,J Balvin,artist/J-Balvin/2089089
Anuel AA,Chris Jeday,artist/Chris-Jeday/2283050
Anuel AA,Cardi B,artist/Cardi-B/3195462
Anuel AA,Ozuna,artist/Ozuna/3228162
Anuel AA,Offset,artist/Offset/3288138
Anuel AA,Uptown Vibes,/lyric/35709686/Fabolous/Uptown+Vibes
Anuel AA,Fabolous,artist/Fabolous/483230
Anuel AA,Meek Mill,artist/Meek-Mill/1037365
Anuel AA,Bebe,/lyric/34220341/Ozuna/Bebe
Anuel AA,Ozuna,artist/Ozuna/3228162
Anuel AA,Oscuridad,/lyric/34382754/Farruko/Oscuridad
Anuel AA,Farruko,artist/Farruko/2147559
Anuel AA,Culpables,/lyric/35457351/Karol+G/Culpables
Anuel AA,Karol G,artist/Karol-G/3197139
Anuel AA,Bandolera,/lyric/35275928/Anuel+AA/Bandolera
Anuel AA,Brindemos,/lyric/35275926/Anuel+AA/Brindemos
Anuel AA,Espina,/lyric/35275934/Anuel+AA/Espina
Anuel AA,Hipócrita,/lyric/35275930/Anuel+AA/Hip%C3%B3crita
Anuel AA,Modo de Avión,/lyric/35275929/Anuel+AA/Modo+de+Avi%C3%B3n
Anuel AA,Na' Nuevo,/lyric/35275932/Anuel+AA/Na%27+Nuevo
Anuel AA,Naturaleza,/lyric/35275925/Anuel+AA/Naturaleza
Anuel AA,Pensando en Ti,/lyric/35275927/Anuel+AA/Pensando+en+Ti
Anuel AA,Quiere Beber,/lyric/35275931/Anuel+AA/Quiere+Beber
Anuel AA,Te Necesito,/lyric/35275923/Anuel+AA/Te+Necesito
Anuel AA,Tú No lo Amas,/lyric/35275933/Anuel+AA/T%C3%BA+No+lo+Amas
Anuel AA,Yeezy,/lyric/35275924/Anuel+AA/Yeezy
Anuhea,Higher Than the Clouds,/lyric/25275555/Anuhea/Higher+Than+the+Clouds
Anúna,Bean Pháidín/An Poc AR Buile,/lyric/1656850/An%C3%BAna/Bean+Ph%C3%A1id%C3%ADn-An+Poc+AR+Buile
Anúna,The Blue Bird,/lyric/1656856/An%C3%BAna/The+Blue+Bird
Anúna,Cormacus Scripsit,/lyric/1656851/An%C3%BAna/Cormacus+Scripsit
Anúna,Crist and St. Marie,/lyric/1656855/An%C3%BAna/Crist+and+St.+Marie
Anúna,Fionnghuala,/lyric/1656854/An%C3%BAna/Fionnghuala
Anúna,The First Day,/lyric/1656843/An%C3%BAna/The+First+Day
Anúna,Jerusalem,/lyric/1656853/An%C3%BAna/Jerusalem
Anúna,Media Vita,/lyric/1656842/An%C3%BAna/Media+Vita
Anúna,Pater Noster,/lyric/1656847/An%C3%BAna/Pater+Noster
Anúna,The Raid,/lyric/1656845/An%C3%BAna/The+Raid
Anúna,Sanctus,/lyric/1656846/An%C3%BAna/Sanctus
Anúna,Sí Do Mhaimeo Í,/lyric/1656857/An%C3%BAna/S%C3%AD+Do+Mhaimeo+%C3%8D
Anúna,"Silent, O Moyle",/lyric/4840502/An%C3%BAna/Silent%2C+O+Moyle
Anúna,Suantrai,/lyric/1656849/An%C3%BAna/Suantrai
Anúna,Maria Matrem Virginem [Maria Virgin Mother],/lyric/1324556/An%C3%BAna/Maria+Matrem+Virginem+%5BMaria+Virgin+Mother%5D
Anúna,Eiri Na Gréine,/lyric/1656946/An%C3%BAna/Eiri+Na+Gr%C3%A9ine
Anúna,Goltraí,/lyric/1656957/An%C3%BAna/Goltra%C3%AD
Anúna,Heia Viri,/lyric/1656952/An%C3%BAna/Heia+Viri
Anúna,Hin Barra,/lyric/1656949/An%C3%BAna/Hin+Barra
Anúna,Innisfree,/lyric/1656958/An%C3%BAna/Innisfree
Anúna,The Last Rose,/lyric/1656948/An%C3%BAna/The+Last+Rose
Anúna,Peperit Virgo,/lyric/1656955/An%C3%BAna/Peperit+Virgo
Anúna,Quis Est Deus,/lyric/1656954/An%C3%BAna/Quis+Est+Deus
Anúna,Siúil a Riún,/lyric/1656956/An%C3%BAna/Si%C3%BAil+a+Ri%C3%BAn
Anúna,Sleep Song,/lyric/1656947/An%C3%BAna/Sleep+Song
Anúna,Song of Oisín,/lyric/1656953/An%C3%BAna/Song+of+Ois%C3%ADn
Anúna,Under the Greenwood,/lyric/1656951/An%C3%BAna/Under+the+Greenwood
