"year","ranking","artist","title"
1965,54,"The Dave Clark Five","Catch Us If You Can"
1965,55,"The Beatles","Eight Days a Week"
1965,56,"The Beau Brummels","Just a Little"
1965,57,"Ian Whitcomb","You Turn Me On"
1965,58,"Marvin Gaye","I'll Be Doggone"
1965,59,"Gary Lewis & the Playboys","Save Your Heart for Me"
1965,60,"The Kinks","Tired of Waiting for You"
1965,61,"Gary Lewis & the Playboys","Count Me In"
1965,62,"The Kinks","All Day and All of the Night"
1965,63,"Jackie DeShannon","What the World Needs Now Is Love"
1965,64,"Tom Jones","It's Not Unusual"
1965,65,"Sir Douglas Quintet","She's About a Mover"
1965,66,"Sam Cooke","Shake"
1965,67,"Herman's Hermits","Wonderful World"
1965,68,"Martha and the Vandellas","Nowhere to Run"
1965,69,"The Yardbirds","Heart Full of Soul"
1965,70,"The Searchers","Love Potion No. 9"
1965,71,"Dickey Lee","Laurie (Strange Things Happen)"
1965,72,"Sonny & Cher","Baby Don't Go"
1965,73,"The Turtles","It Ain't Me Babe"
1965,74,"The Zombies","Tell Her No"
1965,75,"Peter and Gordon","I Go to Pieces"
1965,76,"Vic Dana","Red Roses for a Blue Lady"
1965,77,"Patty Duke","Don't Just Stand There"
1965,78,"The Miracles","The Tracks of My Tears"
1965,79,"Brenda Lee","Too Many Rivers"
1965,80,"The Dave Clark Five","I Like It Like That"
1965,81,"Bobby Goldsboro","Little Things"
1965,82,"Peter and Gordon","True Love Ways"
1965,83,"Four Tops","It's the Same Old Song"
1965,84,"The Fortunes","You've Got Your Troubles"
1965,85,"Joe Tex","Hold What You've Got"
1965,86,"The Animals","We Gotta Get out of This Place"
1965,87,"The Beau Brummels","Laugh, Laugh"
1965,88,"The Rolling Stones","The Last Time"
1965,89,"The Lovin' Spoonful","Do You Believe in Magic"
1965,90,"Cher","All I Really Want to Do"
1965,91,"Little Anthony and the Imperials","Take Me Back"
1965,92,"The Strangeloves","I Want Candy"
1965,93,"The Miracles","Ooo Baby Baby"
1965,94,"Sonny","Laugh at Me"
1965,95,"Roy Head","Treat Her Right"
1965,96,"Jack Jones","The Race Is On"
1965,97,"Dino, Desi & Billy","I'm a Fool"
1965,98,"The Ad Libs","The Boy from New York City"
1965,99,"Del Shannon","Keep Searchin' (We'll Follow the Sun)"
1965,100,"Marvin Gaye","How Sweet It Is (To Be Loved by You)"
1966,1,"SSgt. Barry Sadler","Ballad of the Green Berets"
1966,2,"The Association","Cherish"
1966,3,"The Righteous Brothers","(You're My) Soul and Inspiration"
1966,4,"Four Tops","Reach Out I'll Be There"
1966,5,"? and the Mysterians","96 Tears"
1966,6,"The Monkees","Last Train to Clarksville"
1966,7,"The Mamas & the Papas","Monday, Monday"
1966,8,"The Supremes","You Can't Hurry Love"
1966,9,"Johnny Rivers","Poor Side of Town"
1966,10,"The Mamas & the Papas","California Dreamin'"
1966,11,"The Lovin' Spoonful","Summer In The City"
1966,12,"Roger Williams","Born Free"
1966,13,"Nancy Sinatra","These Boots Are Made for Walkin'"
1966,14,"Jimmy Ruffin","What Becomes of the Brokenhearted"
1966,15,"Frank Sinatra","Strangers in the Night"
1966,16,"The Beatles","We Can Work It Out"
1966,17,"The Young Rascals","Good Lovin'"
1966,18,"The New Vaudeville Band","Winchester Cathedral"
1966,19,"Tommy James and the Shondells","Hanky Panky"
1966,20,"Percy Sledge","When a Man Loves a Woman"
1966,21,"The Rolling Stones","Paint It, Black"
1966,22,"Petula Clark","My Love"
1966,23,"Lou Christie","Lightnin' Strikes"
1966,24,"The Troggs","Wild Thing"
1966,25,"Paul Revere & the Raiders","Kicks"
1966,26,"Donovan","Sunshine Superman"
1966,27,"Bobby Hebb","Sunny"
1966,28,"The Beatles","Paperback Writer"
1966,29,"The Happenings","See You In September"
1966,30,"The Supremes","You Keep Me Hangin' On"
1966,31,"Sam the Sham and the Pharaohs","Li'l Red Riding Hood"
1966,32,"Mitch Ryder & the Detroit Wheels","Devil with a Blue Dress On/Good Golly Miss Molly"
1966,33,"The Beach Boys","Good Vibrations"
1966,34,"The Mindbenders","A Groovy Kind of Love"
1966,35,"Dusty Springfield","You Don't Have To Say You Love Me"
1966,36,"The Capitols","Cool Jerk"
1966,37,"Sandy Posey","Born a Woman"
1966,38,"The Cyrkle","Red Rubber Ball"
1966,39,"Carla Thomas","B-A-B-Y"
1966,40,"The Left Banke","Walk Away Renée"
1966,41,"The Lovin' Spoonful","Daydream"
1966,42,"The Outsiders","Time Won't Let Me"
1966,43,"Tommy Roe","Hooray for Hazel"
1966,44,"Tommy Roe","Sweet Pea"
1966,45,"The Hollies","Bus Stop"
1966,46,"James & Bobby Purify","I'm Your Puppet"
1966,47,"B. J. Thomas","I'm So Lonesome I Could Cry"
1966,48,"The Temptations","Ain't Too Proud to Beg"
1966,49,"The Standells","Dirty Water"
1966,50,"Bob Lind","Elusive Butterfly"
1966,51,"Simon & Garfunkel","I Am a Rock"
1966,52,"Ray Charles","Crying Time"
1966,53,"Johnny Rivers","Secret Agent Man"
1966,54,"Simon & Garfunkel","The Sound of Silence"
1966,55,"Peter and Gordon","Lady Godiva"
1966,56,"Simon & Garfunkel","Homeward Bound"
1966,57,"The Lovin' Spoonful","Did You Ever Have to Make Up Your Mind?"
1966,58,"Robert Parker","Barefootin'"
1966,59,"Stevie Wonder","Uptight (Everything's Alright)"
1966,60,"Cher","Bang Bang (My Baby Shot Me Down)"
1966,61,"The Beach Boys","Sloop John B"
1966,62,"The Rolling Stones","19th Nervous Breakdown"
1966,63,"The Surfaris","Wipe Out"
1966,64,"Count Five","Psychotic Reaction"
1966,65,"The Temptations","Beauty Is Only Skin Deep"
1966,66,"The T-Bones","No Matter What Shape (Your Stomach's In)"
1966,67,"Paul Revere & the Raiders","Just Like Me"
1966,68,"Deon Jackson","Love Makes the World Go Round"
1966,69,"Crispian St. Peters","The Pied Piper"
1966,70,"Brenda Lee","Coming On Strong"
1966,71,"Ray Conniff Singers","Somewhere My Love"
1966,72,"David Houston","Almost Persuaded"
1966,73,"Bobby Darin","If I Were a Carpenter"
1966,74,"The Marvelettes","Don't Mess with Bill"
1966,75,"Neil Diamond","Cherry, Cherry"
1966,76,"Lee Dorsey","Working In The Coal Mine"
1966,77,"Dionne Warwick","Message to Michael"
1966,78,"Lou Rawls","Love Is a Hurtin' Thing"
1966,79,"The Beach Boys","Barbara Ann"
1966,80,"The Shadows of Knight","Gloria"
1966,81,"The Supremes","My World Is Empty Without You"
1966,82,"Bob Dylan","Rainy Day Women #12 & 35"
1966,83,"The Sandpipers","Guantanamera"
1966,84,"Wilson Pickett","Land of 1000 Dances"
1966,85,"The Shades of Blue","Oh How Happy"
1966,86,"Peter and Gordon","Woman"
1966,87,"The Turtles","You Baby"
1966,88,"The Vogues","Five O'Clock World"
1966,89,"Los Bravos","Black Is Black"
1966,90,"The Beatles","Nowhere Man"
1966,91,"Herman's Hermits","Dandy"
1966,92,"Slim Harpo","Baby Scratch My Back"
1966,93,"Gary Lewis & The Playboys","She's Just My Style"
1966,94,"Chris Montez","The More I See You"
1966,95,"Bobby Fuller Four","I Fought the Law"
1966,96,"The Beatles","Yellow Submarine"
1966,97,"Paul Revere & the Raiders","Hungry"
1966,98,"Herb Alpert and the Tijuana Brass","Zorba the Greek"
1966,99,"The Yardbirds","Shapes of Things"
1966,100,"Wilson Pickett","634-5789 (Soulsville, U.S.A.)"
1967,1,"Lulu","To Sir With Love"
1967,2,"The Box Tops","The Letter"
1967,3,"Bobbie Gentry","Ode to Billie Joe"
1967,4,"The Association","Windy"
1967,5,"The Monkees","I'm a Believer"
1967,6,"The Doors","Light My Fire"
1967,7,"Frank & Nancy Sinatra","Somethin' Stupid"
1967,8,"The Turtles","Happy Together"
1967,9,"The Young Rascals","Groovin'"
1967,10,"Frankie Valli","Can't Take My Eyes off You"
1967,11,"The Music Explosion","Little Bit O' Soul"
1967,12,"Tommy James and the Shondells","I Think We're Alone Now"
1967,13,"Aretha Franklin","Respect"
1967,14,"Stevie Wonder","I Was Made to Love Her"
1967,15,"Bobby Vee","Come Back When You Grow Up"
1967,16,"The Buckinghams","Kind of a Drag"
1967,17,"Arthur Conley","Sweet Soul Music"
1967,18,"The Soul Survivors","Expressway to Your Heart"
1967,19,"Sam & Dave","Soul Man"
1967,20,"The Association","Never My Love"
1967,21,"Jay & the Techniques","Apples, Peaches, Pumpkin Pie"
1967,22,"Every Mother's Son","Come on Down to My Boat"
1967,23,"Strawberry Alarm Clock","Incense and Peppermints"
1967,24,"The Rolling Stones","Ruby Tuesday"
1967,25,"Vikki Carr","It Must Be Him"
1967,26,"The Supremes","Love Is Here and Now You're Gone"
1967,27,"Buffalo Springfield","For What It's Worth"
